        1.32E+02	1.25E+06	9.75E+05	4.08E+06	7.84E+06
	1.98E+02	1.91E+06	9.40E+05	9.03E+06	8.27E+06
	2.65E+02	2.44E+06	8.25E+05	1.17E+07	9.34E+06
	3.31E+02	3.26E+06	7.46E+05	7.31E+06	8.54E+06
	3.97E+02	3.70E+06	7.03E+05	6.64E+06	6.69E+06
	4.63E+02	4.40E+06	6.36E+05	6.12E+06	5.40E+06
	5.29E+02	5.06E+06	6.01E+05	3.45E+06	4.77E+06
	5.95E+02	5.59E+06	5.78E+05	4.73E+06	4.79E+06
	6.61E+02	6.41E+06	5.23E+05	6.18E+06	5.67E+06
	7.28E+02	6.77E+06	4.75E+05	6.10E+06	5.67E+06
	7.94E+02	7.58E+06	4.21E+05	4.74E+06	4.60E+06
	8.60E+02	8.23E+06	3.97E+05	2.97E+06	3.32E+06
	9.26E+02	8.71E+06	3.72E+05	2.24E+06	2.03E+06
	9.92E+02	9.54E+06	3.59E+05	8.75E+05	1.60E+06
	1.06E+03	9.86E+06	3.57E+05	1.67E+06	1.71E+06
	1.12E+03	1.09E+07	3.32E+05	2.57E+06	1.94E+06
	1.19E+03	1.13E+07	3.15E+05	1.59E+06	2.02E+06
	1.26E+03	1.19E+07	3.05E+05	1.90E+06	1.96E+06
	1.32E+03	1.26E+07	2.83E+05	2.39E+06	1.91E+06
	1.39E+03	1.31E+07	2.66E+05	1.45E+06	2.14E+06
	1.46E+03	1.40E+07	2.59E+05	2.57E+06	2.16E+06
	1.52E+03	1.43E+07	2.23E+05	2.45E+06	2.28E+06
	1.59E+03	1.51E+07	2.18E+05	1.83E+06	1.89E+06
	1.65E+03	1.58E+07	1.92E+05	1.38E+06	1.17E+06
	1.72E+03	1.63E+07	1.95E+05	2.99E+05	1.37E+06
	1.79E+03	1.71E+07	1.87E+05	2.43E+06	1.72E+06
	1.85E+03	1.74E+07	1.55E+05	2.42E+06	1.72E+06
	1.92E+03	1.83E+07	1.47E+05	3.13E+05	1.06E+06
	1.98E+03	1.89E+07	1.50E+05	4.50E+05	7.36E+05
	2.05E+03	1.94E+07	1.40E+05	1.45E+06	1.17E+06
	2.12E+03	2.02E+07	1.26E+05	1.61E+06	1.45E+06
	2.18E+03	2.05E+07	1.13E+05	1.29E+06	1.60E+06
	2.25E+03	2.16E+07	1.04E+05	1.90E+06	1.96E+06
	2.31E+03	2.19E+07	8.12E+04	2.70E+06	2.36E+06
	2.38E+03	2.26E+07	5.96E+04	2.47E+06	2.29E+06
	2.45E+03	2.33E+07	4.01E+04	1.71E+06	2.08E+06
	2.51E+03	2.38E+07	3.11E+04	2.06E+06	2.00E+06
	2.58E+03	2.47E+07	5.87E+03	2.23E+06	1.64E+06
	2.65E+03	2.50E+07	-6.01E+03	6.39E+05	1.02E+06
	2.71E+03	2.58E+07	-4.75E+03	1.92E+05	4.61E+05
	2.78E+03	2.64E+07	-9.20E+03	5.52E+05	4.62E+05
	2.84E+03	2.70E+07	-1.39E+04	6.42E+05	8.96E+05
	2.91E+03	2.78E+07	-1.99E+04	1.49E+06	1.54E+06
	2.98E+03	2.81E+07	-3.88E+04	2.49E+06	2.00E+06
	3.04E+03	2.90E+07	-6.12E+04	2.01E+06	1.73E+06
	3.11E+03	2.95E+07	-7.21E+04	6.95E+05	9.44E+05
	3.17E+03	3.02E+07	-7.28E+04	1.30E+05	6.75E+05
	3.24E+03	3.08E+07	-7.43E+04	1.20E+06	1.20E+06
	3.31E+03	3.13E+07	-9.27E+04	2.27E+06	1.54E+06
	3.37E+03	3.23E+07	-1.12E+05	1.14E+06	1.55E+06
	3.44E+03	3.25E+07	-1.12E+05	1.25E+06	1.31E+06
	3.51E+03	3.34E+07	-1.33E+05	1.53E+06	9.61E+05
	3.57E+03	3.38E+07	-1.37E+05	9.78E+04	5.95E+05
	3.64E+03	3.45E+07	-1.34E+05	1.52E+05	4.51E+05
	3.70E+03	3.54E+07	-1.40E+05	1.10E+06	9.12E+05
	3.77E+03	3.56E+07	-1.53E+05	1.48E+06	1.49E+06
	3.84E+03	3.67E+07	-1.64E+05	1.90E+06	1.78E+06
	3.90E+03	3.69E+07	-1.84E+05	1.97E+06	1.56E+06
	3.97E+03	3.78E+07	-1.97E+05	8.22E+05	8.64E+05
	4.03E+03	3.84E+07	-1.98E+05	0.00E+00	2.56E+05
	4.10E+03	3.87E+07	-1.94E+05	1.51E+05	5.04E+05
	4.17E+03	3.99E+07	-2.00E+05	1.57E+06	1.07E+06
	4.23E+03	4.01E+07	-2.20E+05	1.50E+06	1.07E+06
	4.30E+03	4.10E+07	-2.25E+05	1.42E+05	8.24E+05
	4.37E+03	4.14E+07	-2.22E+05	8.29E+05	1.03E+06
	4.43E+03	4.18E+07	-2.39E+05	2.12E+06	1.45E+06
	4.50E+03	4.32E+07	-2.57E+05	1.41E+06	1.58E+06
	4.56E+03	4.30E+07	-2.63E+05	1.20E+06	8.50E+05
	4.63E+03	4.42E+07	-2.77E+05	0.00E+00	3.02E+05
	4.70E+03	4.45E+07	-2.62E+05	0.00E+00	2.02E+05
	4.76E+03	4.52E+07	-2.74E+05	8.99E+05	4.52E+05
	4.83E+03	4.62E+07	-2.77E+05	6.88E+05	8.40E+05
	4.89E+03	4.62E+07	-2.85E+05	9.32E+05	7.01E+05
	4.96E+03	4.74E+07	-2.92E+05	4.84E+05	7.77E+05
	5.03E+03	4.76E+07	-2.93E+05	9.15E+05	8.02E+05
	5.09E+03	4.84E+07	-3.07E+05	1.01E+06	6.91E+05
	5.16E+03	4.91E+07	-3.10E+05	1.50E+05	4.83E+05
	5.22E+03	4.93E+07	-3.10E+05	2.93E+05	2.61E+05
	5.29E+03	5.05E+07	-3.15E+05	3.40E+05	6.71E+05
	5.36E+03	5.08E+07	-3.15E+05	1.38E+06	1.01E+06
	5.42E+03	5.16E+07	-3.37E+05	1.32E+06	7.62E+05
	5.49E+03	5.21E+07	-3.37E+05	0.00E+00	2.71E+05
	5.56E+03	5.25E+07	-3.31E+05	0.00E+00	2.30E+05
	5.62E+03	5.38E+07	-3.36E+05	1.20E+06	7.00E+05
	5.69E+03	5.38E+07	-3.51E+05	9.95E+05	8.79E+05
	5.75E+03	5.49E+07	-3.52E+05	4.43E+05	8.04E+05
	5.82E+03	5.51E+07	-3.58E+05	9.75E+05	9.03E+05
	5.89E+03	5.60E+07	-3.69E+05	1.29E+06	1.03E+06
	5.95E+03	5.67E+07	-3.79E+05	8.20E+05	7.25E+05
	6.02E+03	5.69E+07	-3.82E+05	6.66E+04	3.47E+05
